Article.ID,Summarize,1.1.Geography,1.1.1.Geography-Country,2.1.1.Actors.Institutions,DEPTH SCORE,4.4.1.Depth,Title,Journal,Authors,Citation,Citation.1
6205524,"Studied 4 different types of conservation agriculture in Tanzania, looking at climate smart relevant outcomes, namely yield, rainfall use efficiency and greenhouse gas fluxes. Found that conservation agriculture had positive results in relation to these outcomes.|||Summary of field trials using a range of conservation agriculture responses to alter resilience (and mitigation)",Africa,Tanzania, Civil Society- international/multinational/national|||International or multinational governance institutions||| Individuals or households,Low,"Low.|||Moderate change- novel in the locality, but has been implemented elsewhere",Is conservation agriculture 'climate-smart' for maize farmers in the highlands of Tanzania?,NUTRIENT CYCLING IN AGROECOSYSTEMS,"Kimaro, AA; Mpanda, M; Rioux, J; Aynekulu, E; Shaba, S; Thiong'o, M; Mutuo, P; Abwanda, S; Shepherd, K; Neufeldt, H; Rosenstock, TS","Kimaro, AA; Mpanda, M; Rioux, J; Aynekulu, E; Shaba, S; Thiong'o, M; Mutuo, P; Abwanda, S; Shepherd, K; Neufeldt, H; Rosenstock, TS, Is conservation agriculture 'climate-smart' for maize farmers in the highlands of Tanzania?, NUTRIENT CYCLING IN AGROECOSYSTEMS","Kimaro, AA; Mpanda, M; Rioux, J; Aynekulu, E; Shaba, S; Thiong'o, M; Mutuo, P; Abwanda, S; Shepherd, K; Neufeldt, H; Rosenstock, TS, Is conservation agriculture 'climate-smart' for maize farmers in the highlands of Tanzania?, NUTRIENT CYCLING IN AGROECOSYSTEMS"
6205525,This paper analyses how farmers reduce vulnerability of rain-fed agriculture to drought through indigenous knowledge systems|||Farmers in Ghana use Indigenous knowledge to respond to drought,Africa,Ghana, Individuals or households,Low,Limited depth|||shallow-- primarily business as usual,Reducing vulnerability of rain-fed agriculture to drought through indigenous knowledge systems in north-eastern Ghana,INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,"Derbile, EK","Derbile, EK, Reducing vulnerability of rain-fed agriculture to drought through indigenous knowledge systems in north-eastern Ghana, INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT","Derbile, EK, Reducing vulnerability of rain-fed agriculture to drought through indigenous knowledge systems in north-eastern Ghana, INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT"
6205526,"This paper uses yield and rainfall from more than 5 years of on farm trials to assess if conservation agriculture increases yield and yield resilience. It also includes an assessment of constraints to the wider implementation of this response.|||""n the majority of cases (80%), yield responses from a range of CA systems were greater than those of the conventional control plot at the respective site.""|||""field-based results showed that CA has a great potential for farmers in southern Africa. The success of its implementation will however largely depend on addressing the challenges observed in the field, which will be an iterative participatory process with farmers to find local solutions and to adapt CA system to the site and farmer circumstances.""|||effect of different conservation agriculture (CA) systems on maize grain yield, across four countries in southern Africa",Africa,"Malawi|||Mozambique|||Zambia|||Zimbabwe|||Malawi, Mozambique, Zambia and Zimbabwe",International or multinational governance institutions,Low,low|||,Yield response of maize (Zea mays L.) to conservation agriculture cropping system in Southern Africa,SOIL & TILLAGE RESEARCH,"Thierfelder, C; Matemba-Mutasa, R; Rusinamhodzi, L","Thierfelder, C; Matemba-Mutasa, R; Rusinamhodzi, L, Yield response of maize (Zea mays L.) to conservation agriculture cropping system in Southern Africa, SOIL & TILLAGE RESEARCH","Thierfelder, C; Matemba-Mutasa, R; Rusinamhodzi, L, Yield response of maize (Zea mays L.) to conservation agriculture cropping system in Southern Africa, SOIL & TILLAGE RESEARCH"
6205528,Crop failure adaptation methods in Malawi through an intersectional response|||This paper examines farmers' coping responses to crop failure due to multiple stressors and the drivers of these coping options in southern Malawi,Africa,Malawi|||Southern Malawi, Civil Society- sub-national or local||| Individuals or households,Not certain / Insufficient information / Not assessed,Broad|||medium,Responding to Crop Failure: Understanding Farmers' Coping Strategies in Southern Malawi,SUSTAINABILITY,"Coulibaly, JY; Gbetibouo, GA; Sileshi, GW; Kundhlande, G; Beedy, TL","Coulibaly, JY; Gbetibouo, GA; Sileshi, GW; Kundhlande, G; Beedy, TL, Responding to Crop Failure: Understanding Farmers' Coping Strategies in Southern Malawi, SUSTAINABILITY","Coulibaly, JY; Gbetibouo, GA; Sileshi, GW; Kundhlande, G; Beedy, TL, Responding to Crop Failure: Understanding Farmers' Coping Strategies in Southern Malawi, SUSTAINABILITY"
6216010,Farmer adoption of drought tolerant maize as adaptive strategy did not yield greater than other improved varieties|||study focused on drought tolerant  maize for adaptation to climate variability and change,Africa,"Malawi|||Central Malawi (Kasungu and Lilongwe) and four districts in Southern Malawi (Chiradzulu, Machinga, Thyolo and Zomba)", Individuals or households||| National government||| Other||| Civil Society- sub-national or local,Low,limited|||medium,Subsidies promote use of drought tolerant maize varieties despite variable yield performance under smallholder environments in Malawi,FOOD SECURITY,"Holden, ST; Fisher, M","Holden, ST; Fisher, M, Subsidies promote use of drought tolerant maize varieties despite variable yield performance under smallholder environments in Malawi, FOOD SECURITY","Holden, ST; Fisher, M, Subsidies promote use of drought tolerant maize varieties despite variable yield performance under smallholder environments in Malawi, FOOD SECURITY"
6216012,"This well designed study looks to compare the water use of coffee in the open and under agroforestry, in a climate change context. However, as no drought occurred during the study the results are inconclusive with regard to climate change impacts/adaptation. Therefore it is excluded|||How three agroforestry cultivation systems effect water consumption and competition",Africa,Uganda, Other,Low,|||unspecified in text; however can be implied (also from other literature) that both open and  closed canopy cultivation is normal.. however changing 30-year tree crops takes investment.,Water use of Coffea arabica in open versus shaded systems under smallholder's farm conditions in Eastern Uganda,AGRICULTURAL AND FOREST METEOROLOGY,"Sarmiento-Soler, A; Vaast, P; Hoffmann, MP; Rotter, RP; Jassogne, L; van Asten, PJA; Graefe, S","Sarmiento-Soler, A; Vaast, P; Hoffmann, MP; Rotter, RP; Jassogne, L; van Asten, PJA; Graefe, S, Water use of Coffea arabica in open versus shaded systems under smallholder's farm conditions in Eastern Uganda, AGRICULTURAL AND FOREST METEOROLOGY","Sarmiento-Soler, A; Vaast, P; Hoffmann, MP; Rotter, RP; Jassogne, L; van Asten, PJA; Graefe, S, Water use of Coffea arabica in open versus shaded systems under smallholder's farm conditions in Eastern Uganda, AGRICULTURAL AND FOREST METEOROLOGY"
6216013,"farmers in Germany use locally-adapted varieties of cereals, though additional testing is needed for eco-stability|||The perceived alternative response strategies  like appropriate cultivar choice,  adapting fertilization, irrigation, soil tillage and crop rotation measures are the major ones mentioned by farmers and advisors in Germany.", Europe,Germany, Individuals or households||| National government||| Other,Low,limited to crop choice re: cultivars|||Not implemented at all.,Impact of Climate Change on Cultivar Choice: Adaptation Strategies of Farmers and Advisors in German Cereal Production,AGRONOMY-BASEL,"Macholdt, J; Honermeier, B","Macholdt, J; Honermeier, B, Impact of Climate Change on Cultivar Choice: Adaptation Strategies of Farmers and Advisors in German Cereal Production, AGRONOMY-BASEL","Macholdt, J; Honermeier, B, Impact of Climate Change on Cultivar Choice: Adaptation Strategies of Farmers and Advisors in German Cereal Production, AGRONOMY-BASEL"
6216014,"This study surveyed 270 farmers in western Kenya to understand adoption of improved crop management practices in finger millet production. ""Results of a multivariate probit analysis show that variables related to social networks and connectedness have a substantial influence on the adoption of improved finger millet technologies.""|||study aims to assess the factors that influence adoption decisions among finger millet farmers in western Kenya",Africa,Kenya, Civil Society- sub-national or local||| National government||| Individuals or households,Low,"limited depth, practices (such as improved crop seed and fertilizer) are business as usual to increase farm yield|||limited",Improved production systems for traditional food crops: the case of finger millet in western Kenya,FOOD SECURITY,"Handschuch, C; Wollni, M","Handschuch, C; Wollni, M, Improved production systems for traditional food crops: the case of finger millet in western Kenya, FOOD SECURITY","Handschuch, C; Wollni, M, Improved production systems for traditional food crops: the case of finger millet in western Kenya, FOOD SECURITY"
6216015,A survey of 400 pastoralists and agro-pastoralists in Ethiopia found that some households were adopting adaptation practices (either diversification or intensification); those with access to better local institutions were more likely to adopt these practices.|||livestock production is very risky due to climate variability in semi-arid Sub-Saharan Africa and through this study it was explored what drives adoption of agricultural  practices that can decrease the vulnerability of agro-pastoralists to climate change,Africa,Ethiopia, Individuals or households||| Civil Society- sub-national or local,Medium,"Moderate depth, considerable changes to livelihoods|||limited","Adaptation of agriculture to climate change in semi-arid Borena, Ethiopia",REGIONAL ENVIRONMENTAL CHANGE,"Ng'ang'a, SK; Van Wijk, MT; Rufino, MC; Giller, KE","Ng'ang'a, SK; Van Wijk, MT; Rufino, MC; Giller, KE, Adaptation of agriculture to climate change in semi-arid Borena, Ethiopia, REGIONAL ENVIRONMENTAL CHANGE","Ng'ang'a, SK; Van Wijk, MT; Rufino, MC; Giller, KE, Adaptation of agriculture to climate change in semi-arid Borena, Ethiopia, REGIONAL ENVIRONMENTAL CHANGE"
6216017,"This study measured the impacts of drought tolerant maize varieties (DTMVs) on productivity, welfare, and risk exposure using household and plot-level data from rural Nigeria and evaluate the success among the farmes that have used this approach compared with those that have not used it|||The paper examines the benefits of drought tolerant maize varieties, both for risk and poverty reduction, and concludes that, ""adoption of DTMVs was not just a simple coping strategy against drought but also a productivity enhancing and welfare improving strategy.""",Africa,Nigeria, Individuals or households,Medium,In-depth|||medium depth,Measuring the impacts of adaptation strategies to drought stress: The case of drought tolerant maize varieties,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"Wossen, T; Abdoulaye, T; Alene, A; Feleke, S; Menkir, A; Manyong, V","Wossen, T; Abdoulaye, T; Alene, A; Feleke, S; Menkir, A; Manyong, V, Measuring the impacts of adaptation strategies to drought stress: The case of drought tolerant maize varieties, JOURNAL OF ENVIRONMENTAL MANAGEMENT","Wossen, T; Abdoulaye, T; Alene, A; Feleke, S; Menkir, A; Manyong, V, Measuring the impacts of adaptation strategies to drought stress: The case of drought tolerant maize varieties, JOURNAL OF ENVIRONMENTAL MANAGEMENT"
